accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001771340-23-000008,2023-09-07,4,,,,14901,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001972928-23-000008,2023-09-07,4,,,,8662,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000011,2023-09-07,4,,,,8687,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001972928-23-000007,2023-09-06,4,,,,4811,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000010,2023-08-30,4,,,,8609,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-23-000007,2023-08-08,4,,,,8766,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-23-000006,2023-08-08,4,,,,4612,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001972928-23-000006,2023-08-03,4,,,,4588,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000009,2023-07-31,4,,,,8609,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-23-000005,2023-07-11,4,,,,8779,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001771364-23-000008,2023-07-07,4,,,,4612,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001972928-23-000005,2023-07-06,4,,,,4588,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000008,2023-06-29,4,,,,12531,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001972928-23-000004,2023-06-16,4,,,,4587,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001771340-23-000004,2023-06-13,4,,,,9311,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001771364-23-000007,2023-06-07,4,,,,17367,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001771340-23-000003,2023-06-07,4,,,,12599,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000007,2023-06-07,4,,,,8682,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001972928-23-000003,2023-06-07,4,,,,8652,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000006,2023-06-01,4,,,,8607,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001972928-23-000002,2023-05-23,4,,,,7467,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001771364-23-000006,2023-05-08,4,,,,5142,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000005,2023-05-01,4,,,,8609,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001771364-23-000005,2023-04-06,4,,,,4612,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001494731-23-000001,2023-04-05,4,,,,29491,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000004,2023-03-29,4,,,,8609,0,0,xslF345X04/edgardoc.xml,PRIMARY DOCUMENT
0000899243-23-008179,2023-03-10,4,,,,12192,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001790565-23-000003,2023-03-07,4,,,,8649,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-23-000004,2023-03-07,4,,,,17866,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-23-000001,2023-03-07,4,,,,12342,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000002,2023-03-01,4,,,,8576,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-23-000003,2023-02-08,4,,,,4582,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000001,2023-01-31,4,,,,8579,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-23-000002,2023-01-06,4,,,,5111,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-22-000011,2022-12-30,4,,,,6766,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000017,2022-12-29,4,,,,8580,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-22-038522,2022-12-14,4,,,,67463,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001771340-22-000012,2022-12-07,4,,,,16593,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-22-000010,2022-12-07,4,,,,17873,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000016,2022-12-07,4,,,,8655,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000015,2022-11-30,4,,,,8579,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-22-035394,2022-11-08,4,,,,23094,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-035393,2022-11-08,4,,,,29754,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-035390,2022-11-08,4,,,,40841,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001771364-22-000009,2022-11-08,4,,,,5111,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000014,2022-10-31,4,,,,8579,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-22-000008,2022-10-05,4,,,,4580,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000013,2022-09-30,4,,,,8560,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-22-000007,2022-09-14,4,,,,4581,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-22-000010,2022-09-12,4,,,,8642,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001771340-22-000009,2022-09-07,4,,,,16297,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000012,2022-09-07,4,,,,8652,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-22-000006,2022-09-07,4,,,,15764,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000011,2022-08-31,4,,,,8575,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-22-028189,2022-08-09,4,,,,10178,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-028188,2022-08-09,4,,,,69509,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-028184,2022-08-09,4,,,,14082,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-028181,2022-08-09,4,,,,70027,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-028176,2022-08-09,4,,,,58942,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-028174,2022-08-09,4,,,,70034,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001771340-22-000007,2022-08-02,4,,,,13189,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000010,2022-07-29,4,,,,8569,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-22-000001,2022-07-27,4,,,,6805,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000009,2022-06-29,4,,,,8570,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-22-000006,2022-06-14,4,,,,7037,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000008,2022-06-07,4,,,,8637,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-22-000005,2022-06-07,4,,,,15743,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-22-000005,2022-06-07,4,,,,19780,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-22-000004,2022-06-03,4,,,,54821,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000007,2022-06-01,4,,,,8568,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000006,2022-05-04,4,,,,8795,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-22-016671,2022-05-04,4,,,,5736,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-016670,2022-05-04,4,,,,67420,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001790565-22-000005,2022-04-29,4,,,,8569,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-22-015995,2022-04-29,4,,,,38451,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-015991,2022-04-29,4,,,,70014,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-015989,2022-04-29,4,,,,70002,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-015955,2022-04-28,4,,,,43411,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-015949,2022-04-28,4,,,,68414,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-015942,2022-04-28,4,,,,67877,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-015924,2022-04-28,4,,,,70007,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-015923,2022-04-28,4,,,,69484,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-014309,2022-04-07,4,,,,18344,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-014308,2022-04-07,4,,,,63131,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001790565-22-000004,2022-03-30,4,,,,8569,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-22-000004,2022-03-08,4,,,,15740,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000003,2022-03-08,4,,,,12349,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-22-000003,2022-03-08,4,,,,20006,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-22-000002,2022-03-03,4,,,,47982,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000002,2022-03-02,4,,,,8573,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-22-000003,2022-02-22,4,,,,4589,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-22-000001,2022-02-03,4,,,,46643,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-22-000001,2022-01-31,4,,,,8580,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-22-000002,2022-01-20,4,,,,4590,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-22-001397,2022-01-07,4,,,,15686,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-22-001396,2022-01-07,4,,,,63151,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001771364-22-000001,2022-01-04,4,,,,6770,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000017,2021-12-29,4,,,,8581,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-21-049993,2021-12-28,4,,,,15613,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-049992,2021-12-28,4,,,,71394,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-049479,2021-12-22,4,,,,54034,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-049477,2021-12-22,4,,,,70420,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-049325,2021-12-21,4,,,,70435,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-049309,2021-12-21,4,,,,47017,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001771364-21-000016,2021-12-21,4,,,,4589,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-21-048679,2021-12-16,4,,,,66229,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-048676,2021-12-16,4,,,,70961,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-047960,2021-12-13,4,,,,43284,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-047959,2021-12-13,4,,,,70966,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-047608,2021-12-09,4,,,,55678,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-047607,2021-12-09,4,,,,71104,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001790565-21-000016,2021-12-07,4,,,,12890,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-21-000013,2021-12-07,4,,,,20330,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000015,2021-12-07,4,,,,16291,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-21-046681,2021-12-02,4,,,,49785,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-046679,2021-12-02,4,,,,71108,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-045949,2021-11-23,4,,,,36942,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-045947,2021-11-23,4,,,,68179,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-045946,2021-11-23,4,,,,68183,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-045944,2021-11-23,4,,,,71107,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001771364-21-000014,2021-11-19,4,,,,4594,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-21-044924,2021-11-16,4,,,,43455,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044921,2021-11-16,4,,,,70034,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044689,2021-11-15,4,,,,42375,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044687,2021-11-15,4,,,,71015,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044475,2021-11-12,4,,,,58638,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044262,2021-11-12,4,,,,33554,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044261,2021-11-12,4,,,,69874,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044244,2021-11-10,4,,,,44092,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044242,2021-11-10,4,,,,70166,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044241,2021-11-10,4,,,,69578,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044240,2021-11-10,4,,,,41335,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044235,2021-11-10,4,,,,69116,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044232,2021-11-10,4,,,,69117,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044229,2021-11-10,4,,,,70185,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044225,2021-11-10,4,,,,70184,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044077,2021-11-10,4,,,,47735,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-044060,2021-11-10,4,,,,67903,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001494731-21-000003,2021-11-05,4,,,,33011,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-21-000012,2021-11-03,4,,,,31227,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000015,2021-10-29,4,,,,8580,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-21-041859,2021-10-28,4,,,,12637,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0000899243-21-041857,2021-10-28,4,,,,72301,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001771340-21-000011,2021-10-20,4,,,,31882,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000013,2021-10-20,4,,,,4593,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000014,2021-09-29,4,,,,8579,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000012,2021-09-21,4,,,,4593,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000011,2021-09-08,4,,,,19481,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-21-000010,2021-09-08,4,,,,23730,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000013,2021-09-08,4,,,,12368,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-21-000009,2021-09-03,4,,,,26443,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000012,2021-08-31,4,,,,8579,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000010,2021-08-19,4,,,,4590,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000011,2021-08-10,4,,,,8810,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-21-000008,2021-08-04,4,,,,46600,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000010,2021-07-29,4,,,,8579,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000009,2021-07-21,4,,,,4590,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-21-000007,2021-07-08,4,,,,45228,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000009,2021-06-30,4,,,,12500,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000008,2021-06-21,4,,,,4590,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-21-000006,2021-06-08,4,,,,24030,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000008,2021-06-08,4,,,,12888,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000007,2021-06-08,4,,,,23712,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000007,2021-06-01,4,,,,8579,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000006,2021-05-19,4,,,,4589,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-21-000007,2021-05-12,4,,,,56459,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000006,2021-04-29,4,,,,8580,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-21-000005,2021-04-28,4,,,,37492,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000005,2021-04-21,4,,,,4588,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-21-000006,2021-04-14,4,,,,35429,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-21-000004,2021-04-07,4,,,,46811,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-21-000003,2021-04-05,4,,,,10082,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001494731-21-000002,2021-04-05,4,,,,53715,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000005,2021-03-31,4,,,,8580,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000004,2021-03-19,4,,,,4589,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-21-000005,2021-03-11,4,,,,8634,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001584518-21-000004,2021-03-11,4,,,,65017,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001771340-21-000003,2021-03-09,4,,,,23724,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000004,2021-03-09,4,,,,12362,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-21-000003,2021-03-09,4,,,,8863,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000003,2021-03-09,4,,,,23188,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000003,2021-03-03,4,,,,8580,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000002,2021-02-19,4,,,,4589,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000002,2021-02-12,4,,,,8280,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-21-000002,2021-02-12,4,,,,55927,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-21-000001,2021-02-10,4,,,,16204,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-21-000001,2021-02-10,4,,,,28777,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-21-000001,2021-01-28,4,,,,10633,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-21-000001,2021-01-21,4,,,,4589,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-21-000002,2021-01-14,4,,,,62473,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001584518-21-000001,2021-01-14,4,,,,7635,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001771340-21-000002,2021-01-08,4,,,,48246,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-21-000001,2021-01-05,4,,,,25685,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000021,2020-12-30,4,,,,8584,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000024,2020-12-21,4,,,,4590,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-20-000002,2020-12-18,4,,,,5647,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000015,2020-12-14,4,,,,56801,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000017,2020-12-09,4,,,,34261,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000014,2020-12-08,4,,,,8647,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000020,2020-12-08,4,,,,12367,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000016,2020-12-08,4,,,,23509,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000023,2020-12-08,4,,,,23193,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000015,2020-12-02,4,,,,45314,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000022,2020-11-19,4,,,,4590,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000014,2020-11-18,4,,,,20738,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000019,2020-11-12,4,,,,8501,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000013,2020-11-03,4,,,,36201,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000018,2020-10-29,4,,,,8736,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000021,2020-10-29,4,,,,8825,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000012,2020-10-28,4,,,,34355,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-20-000001,2020-10-28,4,,,,29049,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-20-000002,2020-10-28,4,,,,4487,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000013,2020-10-21,4,,,,5365,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000017,2020-10-21,4,,,,5373,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000020,2020-10-21,4,,,,9149,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000011,2020-10-21,4,,,,7510,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000016,2020-10-14,4,,,,8504,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
