accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Ticker,CIK
0000320193-23-000068,2023-05-12,4,,,,4583,0,0,xslF345X04/wf-form4_168393061463065.xml,FORM 4,AAPL,0000320193
0000320193-23-000066,2023-05-10,4,,,,5105,0,0,xslF345X04/wf-form4_168375780902324.xml,FORM 4,AAPL,0000320193
0000320193-23-000057,2023-04-18,4,,,,16150,0,0,xslF345X04/wf-form4_168185708431590.xml,FORM 4,AAPL,0000320193
0000320193-23-000055,2023-04-17,4,,,,5207,0,0,xslF345X04/wf-form4_168177065948283.xml,FORM 4,AAPL,0000320193
0000320193-23-000053,2023-04-10,4,,,,4749,0,0,xslF345X04/wf-form4_168116581286812.xml,FORM 4,AAPL,0000320193
0000320193-23-000051,2023-04-04,4,,,,17464,0,0,xslF345X04/wf-form4_168064766485466.xml,FORM 4,AAPL,0000320193
0000320193-23-000050,2023-04-04,4,,,,15301,0,0,xslF345X04/wf-form4_168064761527635.xml,FORM 4,AAPL,0000320193
0000320193-23-000049,2023-04-04,4,,,,16593,0,0,xslF345X04/wf-form4_168064754806371.xml,FORM 4,AAPL,0000320193
0000320193-23-000048,2023-04-04,4,,,,13367,0,0,xslF345X04/wf-form4_168064750462974.xml,FORM 4,AAPL,0000320193
0000320193-23-000047,2023-04-04,4,,,,19021,0,0,xslF345X04/wf-form4_168064745080973.xml,FORM 4,AAPL,0000320193
0000320193-23-000040,2023-03-24,4,,,,5597,0,0,xslF345X04/wf-form4_167969705479427.xml,FORM 4,AAPL,0000320193
0000320193-23-000038,2023-03-14,4,,,,5713,0,0,xslF345X03/wf-form4_167883332720098.xml,FORM 4,AAPL,0000320193
0000320193-23-000037,2023-03-14,4,,,,5716,0,0,xslF345X03/wf-form4_167883328933055.xml,FORM 4,AAPL,0000320193
0000320193-23-000036,2023-03-14,4,,,,5592,0,0,xslF345X03/wf-form4_167883325244111.xml,FORM 4,AAPL,0000320193
0000320193-23-000035,2023-03-14,4,,,,5739,0,0,xslF345X03/wf-form4_167883321069337.xml,FORM 4,AAPL,0000320193
0000320193-23-000034,2023-03-14,4,,,,5704,0,0,xslF345X03/wf-form4_167883316975236.xml,FORM 4,AAPL,0000320193
0000320193-23-000033,2023-03-14,4,,,,5721,0,0,xslF345X03/wf-form4_167883310220723.xml,FORM 4,AAPL,0000320193
0000320193-23-000032,2023-03-14,4,,,,5712,0,0,xslF345X03/wf-form4_167883306952487.xml,FORM 4,AAPL,0000320193
0000320193-23-000031,2023-03-14,4,,,,5720,0,0,xslF345X03/wf-form4_167883304133328.xml,FORM 4,AAPL,0000320193
0000320193-23-000022,2023-02-03,4,,,,8423,0,0,xslF345X03/wf-form4_167546747536649.xml,FORM 4,AAPL,0000320193
0000320193-23-000021,2023-02-03,4,,,,7034,0,0,xslF345X03/wf-form4_167546742335512.xml,FORM 4,AAPL,0000320193
0000320193-23-000020,2023-02-03,4,,,,6908,0,0,xslF345X03/wf-form4_167546736542524.xml,FORM 4,AAPL,0000320193
0000320193-23-000019,2023-02-03,4,,,,9211,0,0,xslF345X03/wf-form4_167546729886985.xml,FORM 4,AAPL,0000320193
0000320193-23-000018,2023-02-03,4,,,,7870,0,0,xslF345X03/wf-form4_167546724839309.xml,FORM 4,AAPL,0000320193
0000320193-23-000017,2023-02-03,4,,,,7037,0,0,xslF345X03/wf-form4_167546717269434.xml,FORM 4,AAPL,0000320193
0000320193-23-000016,2023-02-03,4,,,,7030,0,0,xslF345X03/wf-form4_167546711444862.xml,FORM 4,AAPL,0000320193
0000320193-23-000015,2023-02-03,4,,,,7037,0,0,xslF345X03/wf-form4_167546705890329.xml,FORM 4,AAPL,0000320193
0000320193-22-000113,2022-11-23,4,,,,5076,0,0,xslF345X03/wf-form4_166924620985339.xml,FORM 4,AAPL,0000320193
0000320193-22-000111,2022-11-01,4,,,,10792,0,0,xslF345X03/wf-form4_166734181374173.xml,FORM 4,AAPL,0000320193
0000320193-22-000102,2022-10-18,4,,,,10628,0,0,xslF345X03/wf-form4_166613234346671.xml,FORM 4,AAPL,0000320193
0000320193-22-000101,2022-10-18,4,,,,16046,0,0,xslF345X03/wf-form4_166613226881196.xml,FORM 4,AAPL,0000320193
0000320193-22-000097,2022-10-04,4,,,,16538,0,0,xslF345X03/wf-form4_166493494107053.xml,FORM 4,AAPL,0000320193
0000320193-22-000095,2022-10-04,4,,,,22183,0,0,xslF345X03/wf-form4_166493432440801.xml,FORM 4,AAPL,0000320193
0000320193-22-000096,2022-10-04,4,,,,10814,0,0,xslF345X03/wf-form4_166493485929155.xml,FORM 4,AAPL,0000320193
0000320193-22-000098,2022-10-04,4,,,,10988,0,0,xslF345X03/wf-form4_166493500034922.xml,FORM 4,AAPL,0000320193
0000320193-22-000090,2022-09-27,4,,,,7878,0,0,xslF345X03/wf-form4_166432987613616.xml,FORM 4,AAPL,0000320193
0000320193-22-000089,2022-09-27,4,,,,7916,0,0,xslF345X03/wf-form4_166432981128707.xml,FORM 4,AAPL,0000320193
0000320193-22-000088,2022-09-27,4,,,,7887,0,0,xslF345X03/wf-form4_166432973592639.xml,FORM 4,AAPL,0000320193
0000320193-22-000087,2022-09-27,4,,,,7880,0,0,xslF345X03/wf-form4_166432966938808.xml,FORM 4,AAPL,0000320193
0000320193-22-000086,2022-09-27,4,,,,5635,0,0,xslF345X03/wf-form4_166432958917508.xml,FORM 4,AAPL,0000320193
0000320193-22-000085,2022-09-27,4,,,,7917,0,0,xslF345X03/wf-form4_166432952647630.xml,FORM 4,AAPL,0000320193
0000320193-22-000076,2022-08-19,4,,,,7070,0,0,xslF345X03/wf-form4_166094821148314.xml,FORM 4,AAPL,0000320193
0000320193-22-000074,2022-08-09,4,,,,10700,0,0,xslF345X03/wf-form4_166008422355199.xml,FORM 4,AAPL,0000320193
0000320193-22-000072,2022-08-05,4,,,,14533,0,0,xslF345X03/wf-form4_165973862846098.xml,FORM 4,AAPL,0000320193
0000320193-22-000063,2022-05-13,4,,,,4636,0,0,xslF345X03/wf-form4_165248105838188.xml,FORM 4,AAPL,0000320193
0000320193-22-000061,2022-05-06,4,,,,16362,0,0,xslF345X03/wf-form4_165187623819106.xml,FORM 4,AAPL,0000320193
0000320193-22-000053,2022-04-19,4,,,,12553,0,0,xslF345X03/wf-form4_165040749395911.xml,FORM 4,AAPL,0000320193
0000320193-22-000052,2022-04-19,4,,,,16128,0,0,xslF345X03/wf-form4_165040742689204.xml,FORM 4,AAPL,0000320193
0000320193-22-000049,2022-04-05,4,,,,17711,0,0,xslF345X03/wf-form4_164919799612317.xml,FORM 4,AAPL,0000320193
0000320193-22-000048,2022-04-05,4,,,,12916,0,0,xslF345X03/wf-form4_164919793500496.xml,FORM 4,AAPL,0000320193
0000320193-22-000047,2022-04-05,4,,,,13594,0,0,xslF345X03/wf-form4_164919788707106.xml,FORM 4,AAPL,0000320193
0000320193-22-000046,2022-04-05,4,,,,11071,0,0,xslF345X03/wf-form4_164919783103450.xml,FORM 4,AAPL,0000320193
0000320193-22-000041,2022-03-08,4,,,,5713,0,0,xslF345X03/wf-form4_164678264350913.xml,FORM 4,AAPL,0000320193
0000320193-22-000040,2022-03-08,4,,,,5716,0,0,xslF345X03/wf-form4_164678259356672.xml,FORM 4,AAPL,0000320193
0000320193-22-000039,2022-03-08,4,,,,5592,0,0,xslF345X03/wf-form4_164678253465583.xml,FORM 4,AAPL,0000320193
0000320193-22-000038,2022-03-08,4,,,,5739,0,0,xslF345X03/wf-form4_164678248157775.xml,FORM 4,AAPL,0000320193
0000320193-22-000037,2022-03-08,4,,,,5704,0,0,xslF345X03/wf-form4_164678242279764.xml,FORM 4,AAPL,0000320193
0000320193-22-000036,2022-03-08,4,,,,5721,0,0,xslF345X03/wf-form4_164678236531567.xml,FORM 4,AAPL,0000320193
0000320193-22-000035,2022-03-08,4,,,,5712,0,0,xslF345X03/wf-form4_164678229722183.xml,FORM 4,AAPL,0000320193
0000320193-22-000034,2022-03-08,4,,,,5720,0,0,xslF345X03/wf-form4_164678223741209.xml,FORM 4,AAPL,0000320193
0000320193-22-000025,2022-02-07,4,,,,14076,0,0,xslF345X03/wf-form4_164427662367600.xml,FORM 4,AAPL,0000320193
0000320193-22-000023,2022-02-03,4,,,,8427,0,0,xslF345X03/wf-form4_164393152667942.xml,FORM 4,AAPL,0000320193
0000320193-22-000022,2022-02-03,4,,,,7038,0,0,xslF345X03/wf-form4_164393146754706.xml,FORM 4,AAPL,0000320193
0000320193-22-000021,2022-02-03,4,,,,6912,0,0,xslF345X03/wf-form4_164393139518938.xml,FORM 4,AAPL,0000320193
0000320193-22-000020,2022-02-03,4,,,,9114,0,0,xslF345X03/wf-form4_164393133439643.xml,FORM 4,AAPL,0000320193
0000320193-22-000019,2022-02-03,4,,,,7710,0,0,xslF345X03/wf-form4_164393124898522.xml,FORM 4,AAPL,0000320193
0000320193-22-000018,2022-02-03,4,,,,7036,0,0,xslF345X03/wf-form4_164393117233036.xml,FORM 4,AAPL,0000320193
0000320193-22-000017,2022-02-03,4,,,,7034,0,0,xslF345X03/wf-form4_164393109986560.xml,FORM 4,AAPL,0000320193
0000320193-22-000016,2022-02-03,4,,,,7041,0,0,xslF345X03/wf-form4_164393104282208.xml,FORM 4,AAPL,0000320193
0000320193-21-000114,2021-11-16,4,,,,4609,0,0,xslF345X03/wf-form4_163710541081314.xml,FORM 4,AAPL,0000320193
0000320193-21-000112,2021-11-12,4,,,,5680,0,0,xslF345X03/wf-form4_163675992058856.xml,FORM 4,AAPL,0000320193
0000320193-21-000108,2021-11-03,4,,,,7070,0,0,xslF345X03/wf-form4_163597867263388.xml,FORM 4,AAPL,0000320193
0000320193-21-000099,2021-10-21,4,,,,5213,0,0,xslF345X03/wf-form4_163485542776887.xml,FORM 4,AAPL,0000320193
0000320193-21-000097,2021-10-19,4,,,,14815,0,0,xslF345X03/wf-form4_163468269006289.xml,FORM 4,AAPL,0000320193
0000320193-21-000096,2021-10-19,4,,,,16053,0,0,xslF345X03/wf-form4_163468261390808.xml,FORM 4,AAPL,0000320193
0000320193-21-000093,2021-10-05,4,,,,12828,0,0,xslF345X03/wf-form4_163347386959085.xml,FORM 4,AAPL,0000320193
0000320193-21-000092,2021-10-05,4,,,,12606,0,0,xslF345X03/wf-form4_163347379860494.xml,FORM 4,AAPL,0000320193
0000320193-21-000091,2021-10-05,4,,,,10652,0,0,xslF345X03/wf-form4_163347373433784.xml,FORM 4,AAPL,0000320193
0000320193-21-000090,2021-10-05,4,,,,10615,0,0,xslF345X03/wf-form4_163347311336788.xml,FORM 4,AAPL,0000320193
0000320193-21-000085,2021-09-28,4,,,,7878,0,0,xslF345X03/wf-form4_163286851816033.xml,FORM 4,AAPL,0000320193
0000320193-21-000084,2021-09-28,4,,,,7887,0,0,xslF345X03/wf-form4_163286847648313.xml,FORM 4,AAPL,0000320193
0000320193-21-000083,2021-09-28,4,,,,7880,0,0,xslF345X03/wf-form4_163286842980488.xml,FORM 4,AAPL,0000320193
0000320193-21-000082,2021-09-28,4,,,,5635,0,0,xslF345X03/wf-form4_163286838690995.xml,FORM 4,AAPL,0000320193
0000320193-21-000081,2021-09-28,4,,,,7919,0,0,xslF345X03/wf-form4_163286834378268.xml,FORM 4,AAPL,0000320193
0000320193-21-000080,2021-09-28,4,,,,7917,0,0,xslF345X03/wf-form4_163286823606839.xml,FORM 4,AAPL,0000320193
0000320193-21-000073,2021-08-26,4,,,,16851,0,0,xslF345X03/wf-form4_163001701613155.xml,FORM 4,AAPL,0000320193
0000320193-21-000071,2021-08-24,4,,,,5473,0,0,xslF345X03/wf-form4_162984422696515.xml,FORM 4,AAPL,0000320193
0000320193-21-000069,2021-08-09,4,,,,10695,0,0,xslF345X03/wf-form4_162854822510730.xml,FORM 4,AAPL,0000320193
0000320193-21-000067,2021-08-04,4,,,,8565,0,0,xslF345X03/wf-form4_162811622543495.xml,FORM 4,AAPL,0000320193
0000320193-21-000060,2021-05-05,4,,,,8930,0,0,xslF345X03/wf-form4_162025388592461.xml,FORM 4,AAPL,0000320193
0000320193-21-000059,2021-05-05,4,,,,8956,0,0,xslF345X03/wf-form4_162025381465785.xml,FORM 4,AAPL,0000320193
0000320193-21-000050,2021-04-19,4,,,,13380,0,0,xslF345X03/wf-form4_161887148361718.xml,FORM 4,AAPL,0000320193
0000320193-21-000049,2021-04-19,4,,,,16126,0,0,xslF345X03/wf-form4_161887141797206.xml,FORM 4,AAPL,0000320193
0000320193-21-000046,2021-04-05,4,,,,15843,0,0,xslF345X03/wf-form4_161766207883637.xml,FORM 4,AAPL,0000320193
0000320193-21-000045,2021-04-05,4,,,,13629,0,0,xslF345X03/wf-form4_161766194119040.xml,FORM 4,AAPL,0000320193
0000320193-21-000044,2021-04-05,4,,,,8730,0,0,xslF345X03/wf-form4_161766181877540.xml,FORM 4,AAPL,0000320193
0000320193-21-000040,2021-02-25,4,,,,5713,0,0,xslF345X03/wf-form4_161429622893015.xml,FORM 4,AAPL,0000320193
0000320193-21-000039,2021-02-25,4,,,,5716,0,0,xslF345X03/wf-form4_161429614827041.xml,FORM 4,AAPL,0000320193
0000320193-21-000038,2021-02-25,4,,,,5592,0,0,xslF345X03/wf-form4_161429609463628.xml,FORM 4,AAPL,0000320193
0000320193-21-000037,2021-02-25,4,,,,5739,0,0,xslF345X03/wf-form4_161429604194177.xml,FORM 4,AAPL,0000320193
0000320193-21-000036,2021-02-25,4,,,,5704,0,0,xslF345X03/wf-form4_161429598243346.xml,FORM 4,AAPL,0000320193
0000320193-21-000035,2021-02-25,4,,,,5712,0,0,xslF345X03/wf-form4_161429591861303.xml,FORM 4,AAPL,0000320193
0000320193-21-000034,2021-02-25,4,,,,5720,0,0,xslF345X03/wf-form4_161429585074371.xml,FORM 4,AAPL,0000320193
0000320193-21-000026,2021-02-03,4,,,,10198,0,0,xslF345X03/wf-form4_161239555356050.xml,FORM 4,AAPL,0000320193
0000320193-21-000025,2021-02-03,4,,,,7291,0,0,xslF345X03/wf-form4_161239548384646.xml,FORM 4,AAPL,0000320193
0000320193-21-000024,2021-02-03,4,,,,6907,0,0,xslF345X03/wf-form4_161239542324805.xml,FORM 4,AAPL,0000320193
0000320193-21-000023,2021-02-03,4,,,,10875,0,0,xslF345X03/wf-form4_161239535474705.xml,FORM 4,AAPL,0000320193
0000320193-21-000022,2021-02-03,4,,,,7395,0,0,xslF345X03/wf-form4_161239528138893.xml,FORM 4,AAPL,0000320193
0000320193-21-000021,2021-02-03,4,,,,7287,0,0,xslF345X03/wf-form4_161239515778792.xml,FORM 4,AAPL,0000320193
0000320193-21-000020,2021-02-03,4,,,,7294,0,0,xslF345X03/wf-form4_161239509434831.xml,FORM 4,AAPL,0000320193
0000320193-21-000019,2021-02-03,4,,,,11172,0,0,xslF345X03/wf-form4_161239502964926.xml,FORM 4,AAPL,0000320193
0000320193-21-000004,2021-01-05,4,,,,5589,0,0,xslF345X03/wf-form4_160988957683472.xml,FORM 4,AAPL,0000320193
0000320193-20-000101,2020-11-17,4,,,,8689,0,0,xslF345X03/wf-form4_160565582610158.xml,FORM 4,AAPL,0000320193
0000320193-20-000099,2020-11-05,4,,,,8957,0,0,xslF345X03/wf-form4_160461904119340.xml,FORM 4,AAPL,0000320193
0000320193-20-000090,2020-10-19,4,,,,17528,0,0,xslF345X03/wf-form4_160314673986899.xml,FORM 4,AAPL,0000320193
0000320193-20-000089,2020-10-19,4,,,,18095,0,0,xslF345X03/wf-form4_160314661733333.xml,FORM 4,AAPL,0000320193
0000320193-20-000086,2020-10-13,4,,,,5172,0,0,xslF345X03/wf-form4_160262821333467.xml,FORM 4,AAPL,0000320193
0000320193-20-000084,2020-10-05,4,,,,15068,0,0,xslF345X03/wf-form4_160193720275669.xml,FORM 4,AAPL,0000320193
0000320193-20-000083,2020-10-05,4,,,,10945,0,0,xslF345X03/wf-form4_160193715587800.xml,FORM 4,AAPL,0000320193
0000320193-20-000082,2020-10-05,4,,,,11339,0,0,xslF345X03/wf-form4_160193701297920.xml,FORM 4,AAPL,0000320193
0000320193-20-000078,2020-09-29,4,,,,7878,0,0,xslF345X03/wf-form4_160141899239637.xml,FORM 4,AAPL,0000320193
0000320193-20-000077,2020-09-29,4,,,,7887,0,0,xslF345X03/wf-form4_160141893471775.xml,FORM 4,AAPL,0000320193
0000320193-20-000076,2020-09-29,4,,,,7880,0,0,xslF345X03/wf-form4_160141889148665.xml,FORM 4,AAPL,0000320193
0000320193-20-000075,2020-09-29,4,,,,5635,0,0,xslF345X03/wf-form4_160141884313005.xml,FORM 4,AAPL,0000320193
0000320193-20-000074,2020-09-29,4,,,,7919,0,0,xslF345X03/wf-form4_160141879027128.xml,FORM 4,AAPL,0000320193
0000320193-20-000073,2020-09-29,4,,,,7917,0,0,xslF345X03/wf-form4_160141863355452.xml,FORM 4,AAPL,0000320193
0000320193-20-000066,2020-08-25,4,,,,26381,0,0,xslF345X03/wf-form4_159839550969947.xml,FORM 4,AAPL,0000320193
0000320193-20-000064,2020-08-24,4,,,,5315,0,0,xslF345X03/wf-form4_159830825188983.xml,FORM 4,AAPL,0000320193
0000320193-20-000056,2020-05-12,4,,,,5074,0,0,xslF345X03/wf-form4_158932261319105.xml,FORM 4,AAPL,0000320193
0000320193-20-000054,2020-04-30,4,,,,6961,0,0,xslF345X03/wf-form4_158829658358801.xml,FORM 4,AAPL,0000320193
0000320193-20-000045,2020-04-17,4,,,,21278,0,0,xslF345X03/wf-form4_158716268511263.xml,FORM 4,AAPL,0000320193
0000320193-20-000044,2020-04-17,4,,,,16120,0,0,xslF345X03/wf-form4_158716262832690.xml,FORM 4,AAPL,0000320193
0000320193-20-000041,2020-04-09,4,,,,21894,0,0,xslF345X03/wf-form4_158647142758084.xml,FORM 4,AAPL,0000320193
0000320193-20-000039,2020-04-03,4,,,,29201,0,0,xslF345X03/wf-form4_158595308536827.xml,FORM 4,AAPL,0000320193
0000320193-20-000038,2020-04-03,4,,,,13494,0,0,xslF345X03/wf-form4_158595302992961.xml,FORM 4,AAPL,0000320193
0000320193-20-000035,2020-02-28,4,,,,5710,0,0,xslF345X03/wf-form4_158293300685250.xml,FORM 4,AAPL,0000320193
0000320193-20-000034,2020-02-28,4,,,,5713,0,0,xslF345X03/wf-form4_158293293482087.xml,FORM 4,AAPL,0000320193
0000320193-20-000033,2020-02-28,4,,,,5726,0,0,xslF345X03/wf-form4_158293286599770.xml,FORM 4,AAPL,0000320193
0000320193-20-000032,2020-02-28,4,,,,5692,0,0,xslF345X03/wf-form4_158293278709070.xml,FORM 4,AAPL,0000320193
0000320193-20-000031,2020-02-28,4,,,,5709,0,0,xslF345X03/wf-form4_158293272634137.xml,FORM 4,AAPL,0000320193
0000320193-20-000030,2020-02-28,4,,,,5717,0,0,xslF345X03/wf-form4_158293266204383.xml,FORM 4,AAPL,0000320193
0000320193-20-000023,2020-02-04,4,,,,9839,0,0,xslF345X03/wf-form4_158085938309797.xml,FORM 4,AAPL,0000320193
0000320193-20-000022,2020-02-04,4,,,,7033,0,0,xslF345X03/wf-form4_158085933339951.xml,FORM 4,AAPL,0000320193
0000320193-20-000021,2020-02-04,4,,,,9110,0,0,xslF345X03/wf-form4_158085927075591.xml,FORM 4,AAPL,0000320193
0000320193-20-000020,2020-02-04,4,,,,7021,0,0,xslF345X03/wf-form4_158085920919420.xml,FORM 4,AAPL,0000320193
0000320193-20-000019,2020-02-04,4,,,,7030,0,0,xslF345X03/wf-form4_158085915125497.xml,FORM 4,AAPL,0000320193
0000320193-20-000018,2020-02-04,4,,,,7036,0,0,xslF345X03/wf-form4_158085910047342.xml,FORM 4,AAPL,0000320193
0000320193-20-000011,2020-01-29,4,,,,6557,0,0,xslF345X03/wf-form4_158034061831540.xml,FORM 4,AAPL,0000320193
0000320193-20-000002,2020-01-02,4,,,,4956,0,0,xslF345X03/wf-form4_157800786035380.xml,FORM 4,AAPL,0000320193
0000320193-19-000123,2019-11-14,4,,,,9130,0,0,xslF345X03/wf-form4_157377424820890.xml,FORM 4,AAPL,0000320193
